Date,High,Low,Mid,Last,Bid,Ask,Volume
2017-03-13,1232.7,1166.8,1224.45,1224.4,1224.4,1224.5,18953.1011757
2017-03-20,1059.0,1009.7,1042.85,1042.8,1042.8,1042.9,27459.92905508
2017-03-21,1122.3,1033.6,1116.55,1116.4,1116.5,1116.6,33610.83424456
2017-03-22,1116.6,985.55,1029.5,1029.4,1029.3,1029.7,40390.873952
2017-03-23,1055.0,1018.0,1025.45,1025.6,1025.2,1025.7,19448.00245597
2017-03-24,1034.6,930.0,937.245,937.59,936.9,937.59,40100.84331098
2017-03-25,965.0,888.2,960.03,960.07,959.99,960.07,47622.26884835
2017-03-26,1006.0,950.1,956.35,956.4,956.3,956.4,34994.99108971
2017-03-27,1042.5,954.3,1035.75,1035.8,1035.7,1035.8,31798.69966271
2017-03-28,1068.9,1016.2,1042.45,1042.5,1042.4,1042.5,26255.50358969
2017-03-29,1059.0,1008.5,1037.6,1037.5,1037.4,1037.8,22457.04335232
2017-03-30,1053.5,1021.2,1032.85,1032.9,1032.7,1033.0,23917.33022375
2017-03-31,1089.4,1031.7,1081.05,1081.0,1081.0,1081.1,28196.43895485
2017-04-01,1106.9,1070.0,1084.05,1084.1,1084.0,1084.1,17049.09263741
2017-04-02,1118.2,1080.9,1109.65,1109.4,1109.5,1109.8,20407.29875875
2017-04-03,1159.9,1104.4,1154.65,1155.0,1154.1,1155.2,28782.79661729
2017-04-04,1165.6,1124.0,1135.85,1135.9,1135.8,1135.9,22908.55675799
2017-04-05,1146.7,1111.2,1126.55,1126.6,1126.5,1126.6,21107.73197234
2017-04-06,1206.4,1126.1,1198.95,1198.9,1198.9,1199.0,33363.11000848
2017-04-07,1209.0,1176.7,1190.95,1191.2,1190.8,1191.1,20850.5735589
2017-04-08,1202.9,1171.0,1184.75,1185.0,1184.5,1185.0,10912.98658251
2017-04-09,1226.9,1179.4,1218.2,1218.0,1218.0,1218.4,16109.42700838
2017-04-10,1229.9,1208.0,1217.95,1218.4,1217.5,1218.4,11897.6329418
2017-04-11,1244.7,1209.1,1238.8,1238.4,1238.6,1239.0,9268.71525863
2017-04-12,1244.3,1221.0,1225.55,1225.8,1225.3,1225.8,12332.63598662
2017-04-13,1235.3,1163.3,1189.05,1189.0,1189.0,1189.1,19234.25175624
2017-04-14,1219.2,1182.0,1208.0,1207.8,1207.5,1208.5,11480.03945098
2017-04-15,1215.0,1191.3,1197.95,1197.9,1197.9,1198.0,9466.52060369
2017-04-16,1217.6,1190.0,1215.15,1215.1,1215.1,1215.2,5119.11012699
2017-04-17,1247.0,1202.0,1238.65,1238.4,1238.4,1238.9,14678.79792861
2017-04-18,1274.8,1235.0,1266.15,1267.2,1265.5,1266.8,16602.4933534
2017-04-19,1272.0,1254.3,1267.6,1268.0,1267.3,1267.9,6299.15914163
2017-04-20,1326.9,1255.0,1301.85,1301.9,1301.8,1301.9,16745.78243307
2017-04-21,1333.1,1301.2,1322.2,1322.3,1322.1,1322.3,8110.60454556
2017-04-22,1354.9,1290.0,1343.1,1343.0,1343.0,1343.2,12268.71145091
2017-04-23,1359.0,1336.0,1345.2,1345.3,1345.1,1345.3,7653.43791659
2017-04-24,1359.6,1325.0,1344.3,1344.6,1343.9,1344.7,8120.00928124
2017-04-25,1378.5,1342.1,1370.2,1370.0,1370.0,1370.4,8214.93671346
2017-04-26,1411.7,1362.3,1404.05,1404.0,1404.0,1404.1,11651.33245957
2017-04-27,1449.7,1392.5,1445.7,1445.6,1445.3,1446.1,10232.70590756
2017-04-28,1447.0,1366.0,1398.95,1398.9,1398.9,1399.0,13114.24133783
2017-04-29,1439.5,1398.9,1422.5,1424.2,1421.1,1423.9,9868.75501413
2017-04-30,1443.7,1400.1,1441.65,1441.7,1441.6,1441.7,8531.03628968
2017-05-01,1560.0,1432.0,1527.55,1527.6,1527.5,1527.6,22317.56589647
2017-05-02,1604.6,1473.0,1549.7,1549.7,1549.5,1549.9,16704.96175968
2017-05-03,1627.0,1541.9,1612.65,1613.0,1612.3,1613.0,17114.90945145
2017-05-04,1702.0,1519.0,1583.9,1586.3,1582.9,1584.9,30321.2950894
2017-05-05,1665.9,1528.8,1570.5,1571.7,1569.3,1571.7,31196.57167469
2017-05-06,1605.1,1505.0,1593.25,1593.7,1592.8,1593.7,16715.25240507
2017-05-07,1624.2,1575.1,1623.75,1623.6,1623.6,1623.9,12746.06896859
2017-05-08,1715.0,1616.2,1698.75,1699.0,1698.5,1699.0,20064.442686
2017-05-09,1815.0,1689.2,1769.05,1769.0,1769.0,1769.1,31670.05533892
2017-05-10,1817.4,1722.3,1780.1,1780.0,1779.8,1780.4,19118.84557246
2017-05-11,1908.1,1763.6,1857.75,1858.2,1857.4,1858.1,24293.68144062
2017-05-12,1868.5,1700.2,1769.95,1770.0,1769.9,1770.0,21081.95901598
2017-05-13,1825.0,1666.0,1813.95,1814.0,1813.9,1814.0,16929.94603844
2017-05-14,1852.4,1775.2,1815.85,1815.7,1815.7,1816.0,11353.81134993
2017-05-15,1830.4,1719.0,1780.95,1781.8,1780.9,1781.0,15829.09402139
2017-05-16,1795.1,1728.0,1781.65,1781.7,1781.6,1781.7,9777.05053279
2017-05-17,1894.0,1766.3,1874.95,1874.9,1874.9,1875.0,15944.83830748
2017-05-18,1948.0,1861.0,1944.95,1946.1,1943.9,1946.0,11723.37564472
2017-05-19,2000.0,1924.9,1969.65,1970.0,1969.4,1969.9,23920.61666184
2017-05-20,2069.0,1960.1,2067.85,2068.0,2067.7,2068.0,21219.21014859
2017-05-21,2099.1,2000.1,2039.6,2037.9,2038.3,2040.9,17131.75095758
2017-05-22,2222.2,1981.8,1981.85,1981.9,1981.8,1981.9,54979.75310354
2017-05-23,2264.2,1978.0,2227.8,2228.0,2227.7,2227.9,25237.76081342
2017-05-24,2444.9,2225.1,2378.55,2379.6,2377.4,2379.7,28763.23656998
2017-05-25,2690.0,2250.2,2376.5,2377.0,2376.0,2377.0,49595.7110208
2017-05-26,2477.0,2007.0,2110.25,2113.2,2108.3,2112.2,45454.1782232
2017-05-27,2210.8,1810.0,1948.55,1949.9,1943.0,1954.1,47573.80228639
2017-05-28,2194.4,1917.5,2030.85,2033.0,2030.5,2031.2,26069.90020527
2017-05-29,2249.8,1990.0,2190.65,2193.4,2190.0,2191.3,16150.8134196
2017-05-30,2265.0,2080.1,2105.6,2106.0,2105.2,2106.0,20354.07680653
2017-05-31,2241.0,2000.0,2195.55,2195.6,2195.5,2195.6,22698.13105643
2017-06-01,2368.2,2180.02876146,2287.85,2287.8,2287.8,2287.9,19095.14572728
2017-06-02,2390.0,2262.8,2389.95,2390.0,2389.9,2390.0,11467.50447164
2017-06-03,2481.2,2347.6,2476.75,2477.2,2476.4,2477.1,11912.73748724
2017-06-04,2498.0,2365.0,2474.15,2476.2,2472.2,2476.1,11862.21293963
2017-06-05,2649.5,2472.3,2618.25,2618.91043963,2617.5,2619.0,15069.17422723
2017-06-06,2899.7,2596.7,2829.1,2828.7,2828.7,2829.5,42863.47285584
2017-06-07,2850.0,2600.1,2674.6,2674.8,2673.3,2675.9,21612.6935227
2017-06-08,2780.0,2527.0,2776.15,2775.6,2775.4,2776.9,17385.43907228
2017-06-09,2849.8,2763.9,2808.55,2808.6,2808.5,2808.6,9590.57211758
2017-06-10,2890.5,2711.1,2813.55,2814.3,2812.9,2814.2,15375.42670813
2017-06-11,3003.0,2791.0,2934.85,2936.6,2932.6,2937.1,19846.74807496
2017-06-12,2962.2,2284.4,2543.7,2543.8,2543.6,2543.8,47251.44470817
2017-06-13,2730.0,2528.1,2680.95,2681.0,2680.9,2681.0,24145.39327905
2017-06-14,2722.42278245,2280.0,2372.0,2374.2,2369.5,2374.5,33787.33441609
2017-06-15,2455.0,2046.0,2382.6,2385.2,2380.2,2385.0,55325.68685312
2017-06-16,2487.0,2257.8,2423.75,2423.7,2423.7,2423.8,24032.48945506
2017-06-17,2635.0,2368.1,2629.95,2630.0,2629.9,2630.0,16108.85988172
2017-06-18,2640.0,2420.0,2479.4,2479.1,2479.0,2479.8,20567.79053665
2017-06-19,2593.9,2472.8,2566.8,2568.0,2565.9,2567.7,13522.69276237
2017-06-20,2780.0,2565.7,2746.7,2747.3,2746.1,2747.3,20269.37169074
2017-06-21,2760.0,2572.3,2600.35,2601.1,2600.0,2600.7,24543.23929945
2017-06-22,2709.0,2554.8,2675.2,2675.0,2675.0,2675.4,15484.26223235
2017-06-23,2726.0,2652.0,2692.25,2692.1,2692.2,2692.3,7851.20454748
2017-06-24,2700.0,2452.86920686,2485.0,2485.2,2484.8,2485.2,16835.50146709
2017-06-25,2595.0,2368.3,2464.95,2462.2,2462.8,2467.1,18250.09762145
2017-06-26,2510.4,2258.7,2397.45,2397.5,2397.4,2397.5,33998.132991
2017-06-27,2500.0,2207.8,2496.7,2495.6,2495.6,2497.8,34606.33289825
2017-06-28,2566.8,2403.2,2512.4,2511.7,2511.7,2513.1,23085.32347093
2017-06-29,2537.8,2424.0,2492.6,2490.3,2490.5,2494.7,12903.73040551
2017-06-30,2511.1,2425.7,2425.95,2426.0,2425.7,2426.2,9951.05435536
2017-07-01,2441.0,2291.0,2330.6,2330.0,2330.2,2331.0,15483.27033096
2017-07-02,2462.8,2302.0,2437.15,2437.2,2437.1,2437.2,11942.13818395
2017-07-03,2587.4,2416.2,2550.75,2550.5,2550.5,2551.0,16459.28579338
2017-07-04,2628.6,2511.0,2560.55,2560.9,2560.3,2560.8,15491.33521549
2017-07-05,2619.0,2477.9,2601.15,2601.2,2601.1,2601.2,13858.39202968
2017-07-06,2607.1,2546.0,2599.05,2597.5,2599.0,2599.1,10008.20103325
2017-07-07,2601.5,2447.0,2454.05,2453.8,2453.8,2454.3,16598.09590207
2017-07-08,2542.6,2436.1,2541.85,2541.4,2541.8,2541.9,10785.00978106
2017-07-09,2555.7,2491.0,2496.95,2496.9,2496.9,2497.0,7242.9093659
2017-07-10,2499.9,2300.2,2312.35,2311.4,2310.8,2313.9,24351.85459663
2017-07-11,2375.0,2182.0,2315.65,2315.6,2315.6,2315.7,36479.92579668
2017-07-12,2397.0,2190.0,2364.9,2364.1,2364.1,2365.7,22238.87665626
2017-07-13,2400.0,2293.1,2335.4,2335.7,2335.1,2335.7,18638.31658398
2017-07-14,2345.6,2138.0,2202.05,2203.0,2201.1,2203.0,27458.42173356
2017-07-15,2218.9,1975.7,2034.95,2034.9,2034.9,2035.0,40552.0852412
2017-07-16,2051.1,1826.2,1949.35,1950.0,1949.2,1949.5,53266.4029935
2017-07-17,2196.0,1903.6,2194.95,2194.9,2194.9,2195.0,39390.34285014
2017-07-18,2380.2,2139.0,2293.15,2295.2,2291.6,2294.7,45484.66172852
2017-07-19,2400.0,2213.9,2253.25,2253.3,2253.2,2253.3,35999.47719933
2017-07-20,2847.0,2226.3,2841.95,2844.9,2838.0,2845.9,74227.68613459
2017-07-21,2922.0,2615.0,2697.8,2698.0,2697.6,2698.0,66653.29486544
2017-07-22,2917.0,2642.8,2836.35,2836.0,2836.0,2836.7,35645.03203075
2017-07-23,2877.5,2655.0,2729.85,2727.8,2729.3,2730.4,35204.68390574
2017-07-24,2812.0,2707.1,2772.15,2772.5,2771.7,2772.6,21145.71222318
